0,1,2,3,4,5,6,7,8,9,10,11,12,13
403,,,,,,,,,,,,,
1*.,|CON,512-17,A_,|,17.84],180,|MIBE,27,(1),,,,
2.,CON,512-17,B,17.78},150,|DOC,23b,,,,,,
3.,CON,512-17,A_|17.79|,190,|DOC,23g,Star,on,shoulder,,,,
4.,CON,512-17,A_,|,17.32],190,|DOC,23g,Star,on,shoulder,,
5.,CON,512-17,€,|,15.35],200,|DOC,23k,Star,obscure;,(2),,
6.,CON,512-17,€,|,18.3,|,180,|DOC,231,Pellets,above,and,below
7.,CON,522-7,B,15.93|,190,|DOC,9b,,,,,,
8.,NIKM,[522-7,B,|,17.2,|,180,|DOC,33b,,,,
9.,ANTX,[522-7,A_|,13.79|,180,|DOC,(45b),,,,,,
10*.,|CON,E,9.71|,180,(3),,,,,,,,
12.,|CON,527-37,B,15.66|,040,|DOC,(30c),,,,,,
"13,",|-+RCHEUP,{531-5,A_,|,17.41},180,|DOC,206a,,,,,
14.,|4CHEUP,[531-5,B_,|,17.07],180,|DOC,206b,,,,,
15.,|CON,543/4,B_,|,20.49},180,|DOC,42b,Regnal,year,17,,
16.,_|NIK,540/1,A_|,21.00],180,|DOC,118a,Regnal,year,14;,holed,,
17.,|NIKO,__{538/9,B_,|,16.47),200,|DOC,138b,Regnal,year,32,,
18.,|KYZ,541/2,10.61|,150,|DOC,(184),_|Half,follis;,regnal,year,15,,
19.,|THW1,—_|552/3,E,|,18.99],160,|DOC,222b,Regnal,year,26,,
20.,_|CHUP,559/60,TF,|,18.69],150,|DOC,229b.3_|Regnal,year,34,,,
21*.,|CON,538/9,B_,|,11.89],180,|MIBE,-,Regnal,year,12;,(4),
22.,_|CON,568/9,A_,|,12.50],200,|DOC,25a,Regnal,year,4,,
23.,|CON,572/3,r,15.17],190,|DOC,34c,Regnal,year,8,,,
24*.,|NIKO,571/2,B_,|,13.22|,200,|DOC,97c,Regnal,year,7;,(5),
25.,_|CHUP,566/7,[|,17.37|,170,|DOC,(143a)__|Regnal,year,2,,,,
26.,_|CON,578/9,E,14.03|,200,|MIBEC,23b___|Regnal,year,4,,,,
27.,_|CON,580/1,A_,|,12.64},200,|DOC,13d,Regnal,year,7,,
28.,|CON,580/1,€,|,11.68],180,|DOC,13e,Regnal,year,7,,
29.,_|CON,581/2,€,|,12.34],180,|DOC,14e,Regnal,year,8,,
30.,|CON,579-82,E,13.25|,200,|DOC,15f,30,nummi,,,,
31.,[NIKO,580/1,A_,|,11.81},190,|DOC,30a,Regnal,year,7,,
32.,_|NIKO,580/1,B_,|,12.16],210,|DOC,30b,Regnal,year,7,,
140.180.240.80,on,"Tue,",28,Feb,2023,04:05:44,UTC,,,,,,
